-12.151,3.043,-8.973,-26.458,50.000,20.267
-9.558,1.944,-5.945,0.015,-4.275,-98.947
-7.535,2.655,-4.769,27.313,-111.405,-37.466
-7.034,1.836,-3.661,0.359,-114.603,-11.939
-7.084,1.961,-0.589,-43.580,109.099,16.580
-6.768,0.199,-1.911,-34.603,93.023,20.275
-15.344,-0.060,-14.085,-17.695,22.405,22.511
-7.523,2.974,-6.924,-6.641,5.817,-4.252
-7.163,1.037,-5.899,34.321,-117.756,9.809
-7.657,0.836,-1.065,-17.038,-15.733,0.771
-7.575,2.464,-2.076,-30.344,205.756,42.832
-6.105,2.500,-7.391,3.626,147.878,24.160
-9.187,1.539,-9.718,9.374,18.687,-24.076
-5.856,2.540,-4.506,31.855,-250.137,2.573
-7.781,0.045,-1.140,-57.053,-25.618,39.214
-6.460,1.362,-1.882,-26.695,105.084,-21.336
-6.340,1.025,-6.309,-8.565,110.092,-0.145
-7.628,3.108,-8.801,13.511,11.992,-53.153
-4.791,1.535,-5.444,67.008,-159.122,-50.145
-9.644,1.319,-3.414,18.282,-158.092,12.756
-6.981,0.555,-0.175,-60.656,37.679,5.962
-6.644,2.198,-0.984,-34.489,22.962,-5.969
-9.309,0.405,-1.286,-16.641,22.863,4.481
-4.867,1.671,0.160,-49.580,87.176,106.137
-8.303,2.928,-3.397,-27.847,127.160,140.534
-8.928,2.318,-8.289,0.634,53.176,-51.336
