ax,ay,az,gx,gy,gz,cls
-7.175,13.542,-6.977,10.107,-61.695,-125.878,0
-5.890,-0.381,0.464,-64.267,-35.824,-54.031,0
-9.364,3.718,-5.772,-61.496,22.351,-49.435,0
-10.896,2.818,-0.958,-70.664,-21.664,-86.298,0
-9.131,-0.010,-2.064,-49.191,-20.885,-44.122,0
-9.278,-0.723,-0.350,-39.672,1.489,-32.374,2
-9.187,-1.166,-1.061,-25.015,-5.191,-7.588,0
-9.440,-1.154,-1.037,-12.763,21.954,-4.748,0
-8.607,-4.616,-0.627,53.137,-23.870,36.641,0
-11.983,9.268,-3.670,53.183,62.107,47.290,0
-10.532,2.950,-4.183,-98.374,-2.954,-80.412,2
-10.254,0.493,-1.453,-119.443,-22.901,-99.733,2
-8.772,-1.647,-1.487,-67.916,-14.557,-43.053,2
-9.340,-2.411,-0.924,-43.962,19.473,-27.725,2
-8.645,-2.715,-1.235,3.038,-2.237,14.954,0
-9.895,-2.037,-1.176,27.756,12.969,29.817,0
-8.868,-2.921,-1.640,76.679,8.504,25.916,0
-5.452,-5.200,-0.666,158.153,-53.450,124.168,0
-6.507,3.017,-2.873,189.527,-13.328,240.252,0
-10.192,3.230,-1.753,-48.756,34.756,-68.725,3
-8.873,1.338,-2.169,-48.397,-6.336,-35.214,2
-9.031,1.331,-1.238,-60.244,-4.206,-37.130,2
-9.608,-0.996,-1.192,-74.649,22.344,-9.412,2
-9.680,-1.135,-1.197,-5.206,-10.489,-6.397,2
-9.780,-1.810,-1.243,16.672,3.282,14.069,0
-6.608,-3.972,-2.454,107.756,-0.084,54.282,0
-4.010,-2.658,0.048,206.366,82.672,131.305,0
-13.908,13.010,-10.455,94.580,83.489,91.679,0
-11.004,7.654,-3.646,-1.626,-9.458,-72.214,0
-9.495,2.772,-2.813,-49.611,-9.618,-43.321,0
-8.720,1.142,-3.517,-112.420,-18.344,-78.366,2
-9.543,-1.099,-1.968,-38.710,9.473,-27.794,2
-9.414,-1.817,-1.513,-35.908,-1.885,-19.221,0
-9.809,-0.397,-1.401,-4.489,11.931,0.260,0
-9.096,-2.330,-2.002,23.557,-7.198,31.160,0
-8.902,6.895,-0.955,149.725,-9.504,213.565,0
-10.669,3.136,-3.218,-36.053,43.229,-65.924,2
-9.203,2.796,-2.495,-79.076,-44.565,-54.191,2
-8.107,-2.023,-0.634,-87.672,-0.901,-72.023,2
-8.746,-2.413,-1.113,-81.779,44.321,-34.252,2
-9.134,-1.654,-2.133,-9.977,-17.221,16.099,2
-9.079,-1.614,-2.162,22.145,-9.099,29.679,2
-2.028,-2.081,-2.593,206.260,85.092,163.679,2
-7.173,2.301,-3.670,-65.305,-20.664,-41.221,3
-9.141,0.795,-2.047,-110.176,-4.893,-77.756,2
-8.662,-0.455,-2.902,-91.305,-10.573,-77.015,2
-9.553,-2.442,-1.367,-36.260,13.534,-27.947,2
-8.717,-4.463,-1.760,14.924,32.687,13.053,2
-3.069,-0.029,1.611,195.641,-22.924,201.832,2
-9.167,10.161,-2.993,75.053,-7.924,86.122,3
